--- P
tarif 1 2 3 4 5 6
2.0 22,401746 0,776564
3.0 11,997830 7,687805 3,307437 2,791786 0,934435 0,934435
6.1 20,557850 12,762884 9,926251 7,848380 0,325141 0,325141
6.2 13,138413 8,751207 5,615670 4,671118 0,238475 0,238475
6.3 10,474293 6,510420 5,241724 4,138835 0,341465 0,341465
6.4 7,310560 4,116430 3,161822 2,877385 0,194493 0,194493
--- E
tarif 1 2 3 4 5 6
2.0 0,033081 0,019184 0,000557
3.0 0,023974 0,012820 0,007573 0,005495 0,000424 0,000234
6.1 0,021899 0,011675 0,007394 0,005376 0,000406 0,000212
6.2 0,011872 0,006530 0,003686 0,002774 0,000249 0,000090
6.3 0,010399 0,005651 0,003603 0,002659 0,000238 0,000140
6.4 0,008757 0,004806 0,003067 0,002206 0,000139 0,000089
--- Eauto
voltage 1 2 3 4 5 6
NT0 
NT1 0,011672 0,006196 0,004064 0,002891 0,000195 0,000112
NT2 0,006013 0,003476 0,001784 0,001360 0,000142 0,000026
NT3 0,005119 0,002793 0,001764 0,001336 0,000152 0,000088
NT4 0,008757 0,004806 0,003067 0,002206 0,000139 0,000089
--- penaltie
tarif price
2.0 3,013070
3.0 3,395810
6.1 3,566788
6.2 3,312680
6.3 3,019048
6.4 2,915852
--- Kp
 1 2 3 4 5 6
2.0 1,000000 0,034665 
3.0 1,000000 0,640766 0,275670 0,232691 0,077884 0,077884
6.1 1,000000 0,620828 0,482845 0,381770 0,015816 0,015816
6.2 1,000000 0,666078 0,427424 0,355531 0,018151 0,018151
6.3 1,000000 0,621562 0,500437 0,395142 0,032600 0,032600
6.4 1,000000 0,563080 0,432501 0,393593 0,026604 0,026604

