;Batterie size (kwh);Objective function;Battery price
0;894.8990980013309;5878.383724078249;894.8990980013309
1;640.4791441918316;6274.962561624394;640.4791441918316
2;326.253155019328;6516.690195503016;326.253155019328
3;119.13291498507948;6619.530208792156;119.13291498507948
4;91.46835265794971;6676.272554853205;91.46835265794971
5;84.83942242568814;6723.263778766181;84.83942242568814
6;75.67101157617392;6762.889088677409;75.67101157617392
7;74.3774658517627;6801.959349496337;74.3774658517627
8;74.32597771302227;6840.371705406758;74.32597771302227
9;67.95518356403097;6878.206763016398;67.95518356403097
