;Batterie size (kwh);Objective function;Battery price
0;894.8987188183436;5878.383716067694;894.8987188183436
1;640.4386604212267;6274.962529734742;640.4386604212267
2;326.25197989393;6516.689843138484;326.25197989393
3;119.1329161592696;6619.5296514688425;119.1329161592696
4;91.46835256355736;6676.271700346335;91.46835256355736
5;84.83898453689784;6723.262883717875;84.83898453689784
6;75.67101134296674;6762.8879491142725;75.67101134296674
7;74.37748199346082;6801.95820104927;74.37748199346082
8;74.32598820486531;6840.370593822206;74.32598820486531
9;67.95518622784006;6878.205661000328;67.95518622784006
