Tubacer 2024
Month;Original;Optimized;Oldptimized;Pena_origin;Pena_opti;Consumption;Production;Compare;Compare old;Power_origin;Power_opti
April;1737.0;1723.5;1737.0;0.0;0.0;0.0;0.0;0.8;;824.4;810.6
May;2416.1;2402.3;2416.1;0.0;0.1;0.0;0.0;0.6;;851.0;836.7
June;3370.4;3362.5;3370.4;10.9;16.3;0.0;0.0;0.2;;824.4;810.6
July;3958.6;3960.7;3958.6;39.9;55.9;0.0;0.0;-0.1;;851.0;836.7
August;4851.5;4837.6;4851.5;0.0;0.0;0.0;0.0;0.3;;851.0;836.7
September;4353.6;4354.7;4353.6;82.4;96.9;0.0;0.0;-0.0;;824.4;810.6
October;5043.4;5037.1;5043.4;61.0;68.6;0.0;0.0;0.1;;851.0;836.7
November;6073.9;6074.7;6073.9;50.9;65.1;0.0;0.0;-0.0;;824.4;810.6
Total;49143.7;49051.7;49143.7;245.1;302.9;0.0;0.0;0.2;0.1873933756752921;9201.9;9047.0


